B022 120.9899 24.7672    51.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181206 99999999
B023 121.1399 24.7200   177.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20180913 99999999
B024 121.0881 24.7357   131.0 0 1 CWB  CSMT  FBA 3.2300E-04 3.2400E-04 3.2100E-04  1   0.0 20181206 99999999
B026 121.0837 24.7736   100.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181203 99999999
B027 121.0745 24.8301    80.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181206 99999999
B028 121.0535 24.7001   129.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181206 99999999
B029 120.7577 24.5578    36.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20180910 99999999
B030 120.8852 24.5863    68.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181206 99999999
B032 120.8226 24.5220    78.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20180910 99999999
B033 120.8703 24.6836    11.0 0 1 CWB  CSMT  FBA 3.2000E-04 3.2300E-04 3.2000E-04  1   0.0 20181206 99999999
B034 120.8653 24.6381    20.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20180910 99999999
B035 120.7970 24.6141    13.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20180910 99999999
B036 120.7049 24.4469   134.0 0 1 CWB  CSMT  FBA 3.2200E-04 3.2300E-04 3.2100E-04  1   0.0 20181206 99999999
B037 120.6837 24.4919    33.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181206 99999999
